question,answer,context
"What EP and TP settings were used for prefilling during inference profiling, and what parameters were set for prompt length and batch size?","For prefilling during inference profiling, EP32 and TP1 were used, in line with DeepSeek V3/R1’s actual online deployment. The prompt length was set to 4K, and the batch size was 16K tokens per GPU.","ge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a pair of individual forward and backward chunks in DualPipe. Each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings: EP64, TP1 with 4K sequence length. And the PP communication is not included during profilng for simplicity. 
 Inference 
 Prefilling 
 For prefilling, the profile employs EP32 and TP1 (in line with DeepSeek V3/R1 ’s actual online deployment), with a prompt length set to 4K and a batch size of 16K tokens per GPU. In our prefilling stage, we utilize two micro-batches to overlap computation and all-to-all communication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile e"
"What strategy is utilized in the prefilling stage regarding computation and communication, and how is the attention computation load managed?","In the prefilling stage, two micro-batches are used to overlap computation and all-to-all communication. The attention computation load is balanced across the two micro-batches, meaning that the same prompt may be split between them.","ge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a pair of individual forward and backward chunks in DualPipe. Each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings: EP64, TP1 with 4K sequence length. And the PP communication is not included during profilng for simplicity. 
 Inference 
 Prefilling 
 For prefilling, the profile employs EP32 and TP1 (in line with DeepSeek V3/R1 ’s actual online deployment), with a prompt length set to 4K and a batch size of 16K tokens per GPU. In our prefilling stage, we utilize two micro-batches to overlap computation and all-to-all communication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile e"
"What are the decoding profile parameters used, and what is the batch size per GPU?","The decoding profile employs EP128, TP1, and a prompt length of 4K. The batch size is 128 requests per GPU.","nication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile employs EP128, TP1, and a prompt length of 4K (closely matching the actual online deployment configuration), with a batch size of 128 requests per GPU. Similar to prefilling, decoding also leverages two micro-batches for overlapping computation and all-to-all communication. However, unlike in prefilling, the all-to-all communication during decoding does not occupy GPU SMs: after RDMA messages are issued, all GPU SMs are freed, and the system waits for the all-to-all communication to complete after the computation has finished. For more information about the all-to-all implementation, please refer to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending"
"How is all-to-all communication handled during decoding, and how does it differ from prefilling?","During decoding, all-to-all communication also leverages two micro-batches for overlapping computation and communication, similar to prefilling. However, unlike prefilling, the all-to-all communication during decoding does not occupy GPU SMs. After RDMA messages are issued, all GPU SMs are freed, and the system waits for the all-to-all communication to complete after the computation has finished. For more information about the all-to-all implementation, one should refer to DeepEP.","nication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile employs EP128, TP1, and a prompt length of 4K (closely matching the actual online deployment configuration), with a batch size of 128 requests per GPU. Similar to prefilling, decoding also leverages two micro-batches for overlapping computation and all-to-all communication. However, unlike in prefilling, the all-to-all communication during decoding does not occupy GPU SMs: after RDMA messages are issued, all GPU SMs are freed, and the system waits for the all-to-all communication to complete after the computation has finished. For more information about the all-to-all implementation, please refer to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending"
"What is Expert Parallelism (EP), and how are experts assigned in this context?",Expert Parallelism (EP) is a method where different experts are assigned to different GPUs.,"nication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile employs EP128, TP1, and a prompt length of 4K (closely matching the actual online deployment configuration), with a batch size of 128 requests per GPU. Similar to prefilling, decoding also leverages two micro-batches for overlapping computation and all-to-all communication. However, unlike in prefilling, the all-to-all communication during decoding does not occupy GPU SMs: after RDMA messages are issued, all GPU SMs are freed, and the system waits for the all-to-all communication to complete after the computation has finished. For more information about the all-to-all implementation, please refer to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending"
What is the purpose of the Expert Parallelism Load Balancer (EPLB)?,The Expert Parallelism Load Balancer (EPLB) aims to keep the load of different GPUs balanced when using expert parallelism (EP). This is important because the load of different experts may vary depending on the current workload.,"er to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending on the current workload, it is important to keep the load of different GPUs balanced. As described in the DeepSeek-V3 paper, we adopt a redundant experts strategy that duplicates heavy-loaded experts. Then, we heuristically pack the duplicated experts to GPUs to ensure load balancing across different GPUs. Moreover, thanks to the group-limited expert routing used in DeepSeek-V3, we also attempt to place the experts of the same group to the same node to reduce inter-node data traffic, whenever possible. 
 To facilitate reproduction and deployment, we open-source our deployed EP load balancing algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of "
What strategy is used to balance the load across different GPUs in EPLB?,The EPLB adopts a redundant experts strategy that duplicates heavily-loaded experts. These duplicated experts are then heuristically packed onto GPUs to ensure load balancing across different GPUs.,"er to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending on the current workload, it is important to keep the load of different GPUs balanced. As described in the DeepSeek-V3 paper, we adopt a redundant experts strategy that duplicates heavy-loaded experts. Then, we heuristically pack the duplicated experts to GPUs to ensure load balancing across different GPUs. Moreover, thanks to the group-limited expert routing used in DeepSeek-V3, we also attempt to place the experts of the same group to the same node to reduce inter-node data traffic, whenever possible. 
 To facilitate reproduction and deployment, we open-source our deployed EP load balancing algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of "
"Besides load balancing, what other optimization does the EP load balancing algorithm consider?","In addition to load balancing, the algorithm attempts to place the experts of the same group to the same node whenever possible. This is done to reduce inter-node data traffic, taking advantage of the group-limited expert routing used in DeepSeek-V3.","er to DeepEP. 
 Expert Parallelism Load Balancer (EPLB) 
 When using expert parallelism (EP), different experts are assigned to different GPUs. Because the load of different experts may vary depending on the current workload, it is important to keep the load of different GPUs balanced. As described in the DeepSeek-V3 paper, we adopt a redundant experts strategy that duplicates heavy-loaded experts. Then, we heuristically pack the duplicated experts to GPUs to ensure load balancing across different GPUs. Moreover, thanks to the group-limited expert routing used in DeepSeek-V3, we also attempt to place the experts of the same group to the same node to reduce inter-node data traffic, whenever possible. 
 To facilitate reproduction and deployment, we open-source our deployed EP load balancing algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of "
What is the purpose of the algorithm implemented in eplb.py?,The algorithm in eplb.py computes a balanced expert replication and placement plan based on the estimated expert loads. It aims to distribute experts across server nodes and GPUs in a way that balances the load.,"algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of this repo's scope. A common method is to use moving average of historical statistics. 
 The Algorithm 
 The load balancing algorithm comes with two policies used for different cases. 
 Hierarchical Load Balancing 
 When the number of server nodes divides the number of expert groups, we use the hierarchical load balancing policy to harness the group-limited expert routing. We first pack the expert groups to nodes evenly, ensuring the loads of different nodes are balanced. Then, we replicate the experts within each node. Finally, we pack the replicated experts to individual GPUs to ensure different GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load"
What are the two load balancing policies used by the algorithm and when are they applied?,The algorithm uses two load balancing policies: Hierarchical Load Balancing and Global Load Balancing. Hierarchical Load Balancing is used when the number of server nodes divides the number of expert groups. Global Load Balancing is used in all other cases.,"algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of this repo's scope. A common method is to use moving average of historical statistics. 
 The Algorithm 
 The load balancing algorithm comes with two policies used for different cases. 
 Hierarchical Load Balancing 
 When the number of server nodes divides the number of expert groups, we use the hierarchical load balancing policy to harness the group-limited expert routing. We first pack the expert groups to nodes evenly, ensuring the loads of different nodes are balanced. Then, we replicate the experts within each node. Finally, we pack the replicated experts to individual GPUs to ensure different GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load"
Describe the steps involved in the Hierarchical Load Balancing policy.,"The Hierarchical Load Balancing policy consists of the following steps: first, the expert groups are packed to nodes evenly, ensuring the loads of different nodes are balanced. Then, the experts are replicated within each node. Finally, the replicated experts are packed to individual GPUs to ensure different GPUs are load-balanced.","algorithm in eplb.py. The algorithm computes a balanced expert replication and placement plan based on the estimated expert loads. Note that the exact method to predict the loads of experts is out of this repo's scope. A common method is to use moving average of historical statistics. 
 The Algorithm 
 The load balancing algorithm comes with two policies used for different cases. 
 Hierarchical Load Balancing 
 When the number of server nodes divides the number of expert groups, we use the hierarchical load balancing policy to harness the group-limited expert routing. We first pack the expert groups to nodes evenly, ensuring the loads of different nodes are balanced. Then, we replicate the experts within each node. Finally, we pack the replicated experts to individual GPUs to ensure different GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load"
"What are the characteristics of the global load balancing policy, and when is it typically used?","The global load balancing policy replicates experts globally, regardless of expert groups, and packs the replicated experts to individual GPUs. This policy is typically adopted during the decoding stage and is suitable for scenarios with a larger expert-parallel size.","ent GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load balancing policy that replicates the experts globally regardless of expert groups, and pack the replicated experts to individual GPUs. This policy can be adopted in decoding stage with a larger expert-parallel size. 
 Fire-Flyer File system 
 The Fire-Flyer File System (3FS) is a high-performance distributed file system designed to address the challenges of AI training and inference workloads. It leverages modern SSDs and RDMA networks to provide a shared storage layer that simplifies development of distributed applications. Key features and benefits of 3FS include: 
 
 
 Performance and Usability 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality"
"What is the Fire-Flyer File System (3FS) designed for, and what technologies does it utilize?",The Fire-Flyer File System (3FS) is a high-performance distributed file system designed to address the challenges of AI training and inference workloads. It leverages modern SSDs and RDMA networks to provide a shared storage layer that simplifies the development of distributed applications.,"ent GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load balancing policy that replicates the experts globally regardless of expert groups, and pack the replicated experts to individual GPUs. This policy can be adopted in decoding stage with a larger expert-parallel size. 
 Fire-Flyer File system 
 The Fire-Flyer File System (3FS) is a high-performance distributed file system designed to address the challenges of AI training and inference workloads. It leverages modern SSDs and RDMA networks to provide a shared storage layer that simplifies development of distributed applications. Key features and benefits of 3FS include: 
 
 
 Performance and Usability 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality"
What are the key benefits of the Fire-Flyer File System's disaggregated architecture?,"The disaggregated architecture of the Fire-Flyer File System combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, allowing applications to access storage resources in a locality-aware manner.","ent GPUs are load-balanced. The hierarchical load balancing policy can be used in prefilling stage with a smaller expert-parallel size. 
 Global Load Balancing 
 In other cases, we use the global load balancing policy that replicates the experts globally regardless of expert groups, and pack the replicated experts to individual GPUs. This policy can be adopted in decoding stage with a larger expert-parallel size. 
 Fire-Flyer File system 
 The Fire-Flyer File System (3FS) is a high-performance distributed file system designed to address the challenges of AI training and inference workloads. It leverages modern SSDs and RDMA networks to provide a shared storage layer that simplifies development of distributed applications. Key features and benefits of 3FS include: 
 
 
 Performance and Usability 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality"
What are the key features of the disaggregated architecture described in the text?,"The disaggregated architecture combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes. This enables applications to access storage resources in a locality-oblivious manner, meaning the physical location of the data is irrelevant to the application's access.","ility 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality-oblivious manner. 
 Strong Consistency Implements Chain Replication with Apportioned Queries (CRAQ) for strong consistency, making application code simple and easy to reason about. 
 File Interfaces Develops stateless metadata services backed by a transactional key-value store (e.g., FoundationDB). The file interface is well known and used everywhere. There is no need to learn a new storage API. 
 
 
 
 Diverse Workloads 
 
 Data Preparation Organizes outputs of data analytics pipelines into hierarchical directory structures and manages a large volume of intermediate outputs efficiently. 
 Dataloaders Eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes. 
 Checkpointing Supports high-throughput parallel checkpointing "
"How does the system ensure strong consistency, and what benefit does this provide?",The system implements Chain Replication with Apportioned Queries (CRAQ) to ensure strong consistency. This simplifies application code and makes it easier to reason about because developers can rely on the data being consistent across all replicas.,"ility 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality-oblivious manner. 
 Strong Consistency Implements Chain Replication with Apportioned Queries (CRAQ) for strong consistency, making application code simple and easy to reason about. 
 File Interfaces Develops stateless metadata services backed by a transactional key-value store (e.g., FoundationDB). The file interface is well known and used everywhere. There is no need to learn a new storage API. 
 
 
 
 Diverse Workloads 
 
 Data Preparation Organizes outputs of data analytics pipelines into hierarchical directory structures and manages a large volume of intermediate outputs efficiently. 
 Dataloaders Eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes. 
 Checkpointing Supports high-throughput parallel checkpointing "
"What type of file interface is used, and why was this choice made?",The system uses a well-known file interface. The metadata services are stateless and backed by a transactional key-value store like FoundationDB. This design choice eliminates the need for users to learn a new storage API because the file interface is already widely understood and used.,"ility 
 
 Disaggregated Architecture Combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, enabling applications to access storage resource in a locality-oblivious manner. 
 Strong Consistency Implements Chain Replication with Apportioned Queries (CRAQ) for strong consistency, making application code simple and easy to reason about. 
 File Interfaces Develops stateless metadata services backed by a transactional key-value store (e.g., FoundationDB). The file interface is well known and used everywhere. There is no need to learn a new storage API. 
 
 
 
 Diverse Workloads 
 
 Data Preparation Organizes outputs of data analytics pipelines into hierarchical directory structures and manages a large volume of intermediate outputs efficiently. 
 Dataloaders Eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes. 
 Checkpointing Supports high-throughput parallel checkpointing "
What benefits does taloaders provide?,Taloaders eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes.,"taloaders Eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes. 
 Checkpointing Supports high-throughput parallel checkpointing for large-scale training. 
 KVCache for Inference Provides a cost-effective alternative to DRAM-based caching, offering high throughput and significantly larger capacity. 
 
 
 
 Performance 
 
 Peak throughput 
 
 The following figure demonstrates the throughput of read stress test on a large 3FS cluster. This cluster consists of 180 storage nodes, each equipped with 2×200Gbps InfiniBand NICs and sixteen 14TiB NVMe SSDs. Approximately 500+ client nodes were used for the read stress test, with each client node configured with 1x200Gbps InfiniBand NIC. The final aggregate read throughput reached approximately 6.6 TiB/s with background traffic from training jobs. 
 
 GraySort 
 
 We evaluated smallpond using the GraySort benchmark, which measures sort performance on large-scale datasets. Our"
What are the key features mentioned in the text?,"The key features mentioned are taloaders, checkpointing, and KVCache for Inference. Taloaders eliminates the need for prefetching or shuffling datasets by enabling random access to training samples. Checkpointing supports high-throughput parallel checkpointing for large-scale training. KVCache for Inference provides a cost-effective alternative to DRAM-based caching, offering high throughput and significantly larger capacity.","taloaders Eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes. 
 Checkpointing Supports high-throughput parallel checkpointing for large-scale training. 
 KVCache for Inference Provides a cost-effective alternative to DRAM-based caching, offering high throughput and significantly larger capacity. 
 
 
 
 Performance 
 
 Peak throughput 
 
 The following figure demonstrates the throughput of read stress test on a large 3FS cluster. This cluster consists of 180 storage nodes, each equipped with 2×200Gbps InfiniBand NICs and sixteen 14TiB NVMe SSDs. Approximately 500+ client nodes were used for the read stress test, with each client node configured with 1x200Gbps InfiniBand NIC. The final aggregate read throughput reached approximately 6.6 TiB/s with background traffic from training jobs. 
 
 GraySort 
 
 We evaluated smallpond using the GraySort benchmark, which measures sort performance on large-scale datasets. Our"
